ISO3,PV,Wind,Hydro,CSP,Rooftop,Offshore
ATG,0.225927022426425,0.443976961109398,0,0,0,0
DZA,0.253351024512499,0.420161827065156,0,0.23962486402704,0.215717594792955,0
AZE,0.179775613093838,0.401026718200974,0.500000005604647,0.135474476723214,0.171953200958247,0.489655493507517
ALB,0.196672742017376,0.227481059304416,0.500000003208809,0.196822533252433,0.194378480657515,0
ARM,0.194391389599967,0.239208441779811,0.499999992246039,0.185880486035728,0.202106115814955,0
AGO,0.235704030798755,0.277583657253616,0.500000097065071,0.232985388656426,0.205416364922124,0.596328992386909
ASM,0,0,0,0,0,0
ARG,0.222554360204841,0.493232711745906,0.499999981069404,0.239046647232474,0.209606612817475,0.642117377188808
AUS,0.243972792738907,0.437575452541487,0.499999941625533,0.289825456496729,0.212343701806497,0.567478072919506
BHR,0.239695218885931,0.395662704796899,0,0.207849321961465,0.241245267905684,0
BRB,0.228327969399718,0.430804835132955,0,0.224460356273615,0,0
BMU,0,0,0,0,0,0.499082579521616
BHS,0.212620621319946,0.260808606810094,0,0.206648585682105,0.214903114275576,0
BGD,0.188436265031458,0,0,0.113672617092662,0.187110721135045,0
BLZ,0.203641731797965,0.205172085342115,0.499999980904015,0.167720454225276,0,0
BIH,0.166389063658106,0.32827584639123,0.499999923517229,0,0.162392529015824,0
BOL,0.263172781564541,0.428393684441039,0.499999982962821,0.294920579044868,0.249578742071191,0
MMR,0.207986644195908,0.19432055817726,0.500000054923813,0.162877155700115,0.202685048473852,0
BEN,0.207267579752465,0,0,0.103127329242044,0.193754476736391,0
SLB,0,0,0,0,0,0
BRA,0.216252940440906,0.398377438545665,0.500000057423901,0.21038426382336,0.206134301274954,0.532792173688714
BGR,0.172764956491356,0.35578584782792,0.500000000189863,0.133749002529183,0.171988164749129,0
BRN,0.186608931051125,0,0,0.109389354703107,0.192290080189628,0
CAN,0.181147427633978,0.434964594781466,0.500000020044678,0.196490793457048,0.170394280717229,0.606335119633603
KHM,0.200481223640194,0.342360609691769,0.499999994577788,0,0.202931048020653,0
LKA,0.207783995895127,0.41982345577017,0.49999998812683,0.150037004556426,0.205479723937925,0.537870700513434
COG,0.183640545636815,0,0.499999980918777,0.0787972271665384,0.182700880408658,0
COD,0.210987176072712,0.177343286762839,0.499999886796829,0.184534081312505,0.2075010932423,0
BDI,0.203388126988091,0,0,0.154159884819647,0.207478546317448,0
CHN,0.210326125708672,0.438968358240828,0.500000115042507,0.200284624533461,0.167115261124416,0.562111697941505
