ISO3,PV,Wind,Hydro,CSP,Rooftop,Offshore
ATG,0,0,0,0,0,0
DZA,23879474,88869.515625,0,1493708.25,21657.29296875,0
AZE,286877.96875,13799.8330078125,0,94.5294799804688,54.4077949523926,1606.03552246094
ALB,480.735595703125,364.406433105469,31.9167995452881,414.824523925781,8280.4599609375,0
ARM,201077.1875,0,0,0,0.182982370257378,0
AGO,7652204.5,0,3788.42797851563,192322.0625,2594.98999023438,284.62744140625
ASM,0,0,0,0,0,0
ARG,8130336,1578701.875,2383.72216796875,3281182.5,12657.3515625,1030151.375
AUS,35348480,1235649.375,105.101593017578,14114412,249036.25,629590.625
BHR,9499.7490234375,574.038635253906,0,27.5645713806152,1887.03466796875,0
BRB,9409.7685546875,7.24029874801636,0,178.875793457031,0,0
BMU,0,0,0,0,0,24.556245803833
BHS,8782.400390625,919.411865234375,0,55.4246673583984,567.314819335938,0
BGD,1269404.125,0,0,0,2437.10400390625,0
BLZ,101921.6875,309.123107910156,0,0,0,0
BIH,1156.62145996094,5403.9384765625,151.708801269531,0,8613.1875,0
BOL,3717341.75,35350.92578125,2817.2060546875,140453.734375,6759.333984375,0
MMR,2686924.5,779.442260742188,2533.7451171875,28.583927154541,779.958801269531,0
BEN,2548775.25,0,0,44497.90234375,1272.04528808594,0
SLB,0,0,0,0,0,0
BRA,63612528,410119.28125,8458.3916015625,450438.375,49516.6640625,80603.4453125
BGR,0,25571.435546875,0,0,62678.65625,0
BRN,100774.890625,0,0,0,1165.82641601563,0
CAN,682.475280761719,2321593.75,11655.8583984375,101938.0625,90231.078125,880293.6875
KHM,48907.3359375,295.581970214844,0,0,41130.2421875,0
LKA,727758.75,79990.015625,0,392.441558837891,4251.17236328125,1463.44287109375
COG,434744.5625,0,72.87060546875,0,1497.81176757813,0
COD,10527493,0,12005.01171875,177733.984375,26097.22265625,0
BDI,140786.15625,0,0,2873.697265625,1184.79858398438,0
CHN,27360612,632245.4375,8124.2744140625,1958136.875,1792624.625,135368.3125
AFG,2591378.25,40850.68359375,616.807739257813,119106.9140625,34739.93359375,0
BTN,1042.53674316406,0,606.561584472656,0,249.896194458008,0
CHL,5362728.5,74503.046875,676.343383789063,257537.234375,4065.28076171875,192358.78125
CYM,1161.10034179688,154.238845825195,0,0,0,0
CMR,3499722,0,1349.02844238281,193864.359375,2412.88208007813,0
TCD,1902212.25,0,0,287604.46875,660.843505859375,0
COM,0,0,0,0,0,0
COL,3610334.25,31501.884765625,2831.38671875,114942.0625,987.925415039063,322373.09375
CRI,210113.9375,6056.0732421875,82.2803955078125,180.8681640625,118.879570007324,7164.7587890625
CAF,1379921.25,0,0,2162.11767578125,99.8115081787109,0
CUB,2514054,2585.32983398438,0,87647.296875,15362.826171875,3.49027967453003
CPV,1541.14282226563,0,0,0,0,10029.720703125
COK,0,0,0,0,0,0
CYP,66883.046875,3.0531063079834,0,3222.95361328125,8522.248046875,0
DNK,0,81079.46875,0,0,32440.861328125,225937.53125
DJI,304086.78125,3932.14135742188,213.171005249023,5696.12060546875,13.5579681396484,671.018310546875
DMA,0,0,0,0,0,4671.1611328125
DOM,685720.625,6388.28271484375,0,21040.25390625,1203.07287597656,59536.3671875
ECU,96620.546875,223.041839599609,380.816802978516,0,493.970428466797,0
EGY,16607606,230661.296875,487.850402832031,703141.4375,27069.51171875,47301.44921875
IRL,0,150462.609375,0,0,16821.74609375,347111.96875
GNQ,69411.9296875,0,274.808807373047,0,65.8368835449219,0
EST,0,56001.40234375,14.9924001693726,0,10109.8046875,21410.65625
ERI,852834.4375,344.290771484375,0,55201.74609375,1554.04467773438,727.8310546875
SLV,254591.171875,353.348907470703,0,14471.224609375,1423.84912109375,0
ETH,7993349,8422.8359375,19.8404006958008,315724.46875,804.76318359375,0
AUT,0,21531.2578125,170.678802490234,0,46094.6796875,0
CZE,0,51045,0,0,56658.640625,0
GUF,141821.59375,0,75.6876068115234,30.5018005371094,0,0
FIN,0,111146.4375,365.995574951172,0,267.180389404297,671.267822265625
FJI,43.3260116577148,0,0,0,0,1612.29089355469
FLK,0,0,0,0,0,783.185485839844
PYF,0,0,0,0,0.057904027402401,0
FRA,12786.0078125,399132.40625,153.201812744141,5762.33203125,310022.0625,149958.453125
